alist-encrypt  | 2026-06-05T07:13:52 [req-c12d4e] [api:/auth] [request] POST /api/auth/login status=200 bytes=238 duration=2.617514ms
alist-encrypt  | 2026-06-05T07:13:52 [req-d1f5e9] [api:/task] [request] GET /api/task/upload/undone status=200 bytes=66 duration=2.584126ms
alist-encrypt  | 2026-06-05T07:13:52 [req-386dbe] [api:/task] [request] GET /api/task/upload/done status=200 bytes=66 duration=2.059935ms
alist-encrypt  | 2026-06-05T07:13:52 [req-5cfb18] [api:/task] [request] GET /api/task/upload/undone status=200 bytes=66 duration=2.980611ms
alist-encrypt  | 2026-06-05T07:13:55 [req-b2660f] [/] [propfind] Listing: /
alist-encrypt  | 2026-06-05T07:13:55 [req-b2660f] [/] [propfind] Request path=/ rule=none
alist-encrypt  | 2026-06-05T07:13:55 [req-b2660f] [/] [propfind] Alist response: status=401
alist-encrypt  | 2026-06-05T07:13:55 [req-b2660f] [/] [propfind] Timings upstream=2.8939ms parse=8.409µs decrypt=55ns entries=0 bytes=0
alist-encrypt  | 2026-06-05T07:13:55 [req-b2660f] [/] [request] PROPFIND /dav/ status=401 bytes=0 duration=2.986144ms
alist-encrypt  | 2026-06-05T07:13:55 [req-bdac9c] [/] [propfind] Listing: /
alist-encrypt  | 2026-06-05T07:13:55 [req-bdac9c] [/] [propfind] Request path=/ rule=none
alist-encrypt  | 2026-06-05T07:13:55 [req-bdac9c] [/] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-05T07:13:55 [req-bdac9c] [/] [propfind] Timings upstream=3.509673ms parse=216.613µs decrypt=56ns entries=1 bytes=581
alist-encrypt  | 2026-06-05T07:13:55 [req-bdac9c] [/] [request] PROPFIND /dav/ status=207 bytes=581 duration=3.817104ms
alist-encrypt  | 2026-06-05T07:13:55 [req-a02a3f] [/] [propfind] Listing: /
alist-encrypt  | 2026-06-05T07:13:55 [req-a02a3f] [/] [propfind] Request path=/ rule=none
alist-encrypt  | 2026-06-05T07:13:55 [req-a02a3f] [/] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-05T07:13:55 [req-a02a3f] [/] [propfind] Timings upstream=2.81143ms parse=99.528µs decrypt=49ns entries=1 bytes=561
alist-encrypt  | 2026-06-05T07:13:55 [req-a02a3f] [/] [request] PROPFIND /dav/ status=207 bytes=561 duration=2.98352ms
alist-encrypt  | 2026-06-05T07:13:55 [req-40e6cf] [/] [propfind] Listing: /
alist-encrypt  | 2026-06-05T07:13:55 [req-40e6cf] [/] [propfind] Request path=/ rule=none
alist-encrypt  | 2026-06-05T07:13:55 [req-40e6cf] [/] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-05T07:13:55 [req-40e6cf] [/] [propfind] Timings upstream=3.36747ms parse=744.978µs decrypt=47ns entries=11 bytes=5785
alist-encrypt  | 2026-06-05T07:13:55 [req-40e6cf] [/] [request] PROPFIND /dav/ status=207 bytes=5785 duration=4.291361ms
alist-encrypt  | 2026-06-05T07:13:55 [req-58fb96] [156联通云盘:/] [propfind] Listing: /156联通云盘/
alist-encrypt  | 2026-06-05T07:13:55 [req-58fb96] [156联通云盘:/] [propfind] Request path=/156联通云盘/ rule=none
alist-encrypt  | 2026-06-05T07:13:55 [req-58fb96] [156联通云盘:/] [propfind] Alist response: status=404
alist-encrypt  | 2026-06-05T07:13:55 [req-58fb96] [156联通云盘:/] [propfind] Timings upstream=216.239097ms parse=12.263µs decrypt=107ns entries=0 bytes=9
alist-encrypt  | 2026-06-05T07:13:55 [req-58fb96] [156联通云盘:/] [request] PROPFIND /dav/156联通云盘/ status=404 bytes=9 duration=216.345226ms
alist-encrypt  | 2026-06-05T07:13:58 [req-c0ddf4] [移动云盘156:/] [propfind] Listing: /移动云盘156/
alist-encrypt  | 2026-06-05T07:13:58 [req-c0ddf4] [移动云盘156:/] [propfind] Request path=/移动云盘156/ rule=none
alist-encrypt  | 2026-06-05T07:13:58 [req-c0ddf4] [移动云盘156:/] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-05T07:13:58 [req-c0ddf4] [移动云盘156:/] [propfind] Timings upstream=5.596587ms parse=812.337µs decrypt=48ns entries=12 bytes=6847
alist-encrypt  | 2026-06-05T07:13:58 [req-c0ddf4] [移动云盘156:/] [request] PROPFIND /dav/移动云盘156/ status=207 bytes=6847 duration=6.575114ms
alist-encrypt  | 2026-06-05T07:13:58 [req-b58c58] [移动云盘156:/来自链接分享] [propfind] Listing: /移动云盘156/来自链接分享/
alist-encrypt  | 2026-06-05T07:13:58 [req-b58c58] [移动云盘156:/来自链接分享] [propfind] Request path=/移动云盘156/来自链接分享/ rule=none
alist-encrypt  | 2026-06-05T07:13:58 [req-b58c58] [移动云盘156:/来自链接分享] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-05T07:13:58 [req-b58c58] [移动云盘156:/来自链接分享] [propfind] Timings upstream=3.862974ms parse=167.103µs decrypt=50ns entries=2 bytes=1299
alist-encrypt  | 2026-06-05T07:13:58 [req-b58c58] [移动云盘156:/来自链接分享] [request] PROPFIND /dav/移动云盘156/来自链接分享/ status=207 bytes=1299 duration=4.091359ms
alist-encrypt  | 2026-06-05T07:13:58 [req-2c3d49] [移动云盘156:/手机备份] [propfind] Listing: /移动云盘156/手机备份/
alist-encrypt  | 2026-06-05T07:13:58 [req-2c3d49] [移动云盘156:/手机备份] [propfind] Request path=/移动云盘156/手机备份/ rule=none
alist-encrypt  | 2026-06-05T07:13:58 [req-2c3d49] [移动云盘156:/手机备份] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-05T07:13:58 [req-2c3d49] [移动云盘156:/手机备份] [propfind] Timings upstream=4.810324ms parse=585.865µs decrypt=49ns entries=8 bytes=4771
alist-encrypt  | 2026-06-05T07:13:58 [req-2c3d49] [移动云盘156:/手机备份] [request] PROPFIND /dav/移动云盘156/手机备份/ status=207 bytes=4771 duration=5.570454ms
alist-encrypt  | 2026-06-05T07:13:58 [req-c4f8fe] [移动云盘156:/手机视频] [propfind] Listing: /移动云盘156/手机视频/
alist-encrypt  | 2026-06-05T07:13:58 [req-c4f8fe] [移动云盘156:/手机视频] [propfind] Request path=/移动云盘156/手机视频/ rule=none
alist-encrypt  | 2026-06-05T07:13:58 [req-c4f8fe] [移动云盘156:/手机视频] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-05T07:13:58 [req-c4f8fe] [移动云盘156:/手机视频] [propfind] Timings upstream=4.246915ms parse=1.12456ms decrypt=170ns entries=22 bytes=11920
alist-encrypt  | 2026-06-05T07:13:58 [req-c4f8fe] [移动云盘156:/手机视频] [request] PROPFIND /dav/移动云盘156/手机视频/ status=207 bytes=11920 duration=5.56444ms
alist-encrypt  | 2026-06-05T07:13:58 [req-db04c0] [移动云盘156:/手机图片] [propfind] Listing: /移动云盘156/手机图片/
alist-encrypt  | 2026-06-05T07:13:58 [req-db04c0] [移动云盘156:/手机图片] [propfind] Request path=/移动云盘156/手机图片/ rule=none
alist-encrypt  | 2026-06-05T07:13:58 [req-db04c0] [移动云盘156:/手机图片] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-05T07:13:58 [req-db04c0] [移动云盘156:/手机图片] [propfind] Timings upstream=3.632418ms parse=821.516µs decrypt=55ns entries=15 bytes=7873
alist-encrypt  | 2026-06-05T07:13:58 [req-db04c0] [移动云盘156:/手机图片] [request] PROPFIND /dav/移动云盘156/手机图片/ status=207 bytes=7873 duration=4.617561ms
alist-encrypt  | 2026-06-05T07:13:58 [req-f69e5f] [移动云盘156:/我的应用收藏] [propfind] Listing: /移动云盘156/我的应用收藏/
alist-encrypt  | 2026-06-05T07:13:58 [req-f69e5f] [移动云盘156:/我的应用收藏] [propfind] Request path=/移动云盘156/我的应用收藏/ rule=none
alist-encrypt  | 2026-06-05T07:13:58 [req-f69e5f] [移动云盘156:/我的应用收藏] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-05T07:13:58 [req-f69e5f] [移动云盘156:/我的应用收藏] [propfind] Timings upstream=3.999274ms parse=512.68µs decrypt=51ns entries=6 bytes=3843
alist-encrypt  | 2026-06-05T07:13:58 [req-f69e5f] [移动云盘156:/我的应用收藏] [request] PROPFIND /dav/移动云盘156/我的应用收藏/ status=207 bytes=3843 duration=4.665302ms
alist-encrypt  | 2026-06-05T07:13:58 [req-03a9c2] [移动云盘156:/已领取的资源] [propfind] Listing: /移动云盘156/已领取的资源/
