alist-encrypt  | 2026-06-04T20:17:32 [req-41c69d] [/] [propfind] Listing: /
alist-encrypt  | 2026-06-04T20:17:32 [req-41c69d] [/] [propfind] Request path=/ rule=none
alist-encrypt  | 2026-06-04T20:17:32 [req-41c69d] [/] [propfind] Alist response: status=401
alist-encrypt  | 2026-06-04T20:17:32 [req-41c69d] [/] [propfind] Timings upstream=6.388242ms parse=8.97µs decrypt=159ns entries=0 bytes=0
alist-encrypt  | 2026-06-04T20:17:32 [req-41c69d] [/] [request] PROPFIND /dav/ status=401 bytes=0 duration=6.580609ms
alist-encrypt  | 2026-06-04T20:17:32 [req-987690] [/] [propfind] Listing: /
alist-encrypt  | 2026-06-04T20:17:32 [req-987690] [/] [propfind] Request path=/ rule=none
alist-encrypt  | 2026-06-04T20:17:32 [req-987690] [/] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-04T20:17:32 [req-987690] [/] [propfind] Timings upstream=7.289569ms parse=352.759µs decrypt=173ns entries=1 bytes=581
alist-encrypt  | 2026-06-04T20:17:32 [req-987690] [/] [request] PROPFIND /dav/ status=207 bytes=581 duration=7.771916ms
alist-encrypt  | 2026-06-04T20:17:32 [req-1d507f] [/] [propfind] Listing: /
alist-encrypt  | 2026-06-04T20:17:32 [req-1d507f] [/] [propfind] Request path=/ rule=none
alist-encrypt  | 2026-06-04T20:17:32 [req-1d507f] [/] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-04T20:17:32 [req-1d507f] [/] [propfind] Timings upstream=28.554001ms parse=169.883µs decrypt=92ns entries=1 bytes=561
alist-encrypt  | 2026-06-04T20:17:32 [req-1d507f] [/] [request] PROPFIND /dav/ status=207 bytes=561 duration=28.846508ms
alist-encrypt  | 2026-06-04T20:17:32 [req-678fb4] [/] [propfind] Listing: /
alist-encrypt  | 2026-06-04T20:17:32 [req-678fb4] [/] [propfind] Request path=/ rule=none
alist-encrypt  | 2026-06-04T20:17:32 [req-678fb4] [/] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-04T20:17:32 [req-678fb4] [/] [propfind] Timings upstream=7.138994ms parse=1.965468ms decrypt=87ns entries=11 bytes=5785
alist-encrypt  | 2026-06-04T20:17:32 [req-678fb4] [/] [request] PROPFIND /dav/ status=207 bytes=5785 duration=9.699943ms
alist-encrypt  | 2026-06-04T20:17:32 [req-3523cd] [156联通云盘:/] [propfind] Listing: /156联通云盘/
alist-encrypt  | 2026-06-04T20:17:32 [req-3523cd] [156联通云盘:/] [propfind] Request path=/156联通云盘/ rule=none
alist-encrypt  | 2026-06-04T20:17:33 [req-3523cd] [156联通云盘:/] [propfind] Alist response: status=404
alist-encrypt  | 2026-06-04T20:17:33 [req-3523cd] [156联通云盘:/] [propfind] Timings upstream=347.33998ms parse=16.552µs decrypt=161ns entries=0 bytes=9
alist-encrypt  | 2026-06-04T20:17:33 [req-3523cd] [156联通云盘:/] [request] PROPFIND /dav/156联通云盘/ status=404 bytes=9 duration=347.469691ms
alist-encrypt  | 2026-06-04T20:17:35 [req-f0d6ef] [移动云盘156:/] [propfind] Listing: /移动云盘156/
alist-encrypt  | 2026-06-04T20:17:35 [req-f0d6ef] [移动云盘156:/] [propfind] Request path=/移动云盘156/ rule=none
alist-encrypt  | 2026-06-04T20:17:35 [req-f0d6ef] [移动云盘156:/] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-04T20:17:35 [req-f0d6ef] [移动云盘156:/] [propfind] Timings upstream=8.081428ms parse=2.069365ms decrypt=141ns entries=12 bytes=6847
alist-encrypt  | 2026-06-04T20:17:35 [req-f0d6ef] [移动云盘156:/] [request] PROPFIND /dav/移动云盘156/ status=207 bytes=6847 duration=10.466919ms
alist-encrypt  | 2026-06-04T20:17:35 [req-1d1d1f] [移动云盘156:/来自链接分享] [propfind] Listing: /移动云盘156/来自链接分享/
alist-encrypt  | 2026-06-04T20:17:35 [req-1d1d1f] [移动云盘156:/来自链接分享] [propfind] Request path=/移动云盘156/来自链接分享/ rule=none
alist-encrypt  | 2026-06-04T20:17:35 [req-1d1d1f] [移动云盘156:/来自链接分享] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-04T20:17:35 [req-1d1d1f] [移动云盘156:/来自链接分享] [propfind] Timings upstream=175.931365ms parse=459.316µs decrypt=137ns entries=2 bytes=1299
alist-encrypt  | 2026-06-04T20:17:35 [req-1d1d1f] [移动云盘156:/来自链接分享] [request] PROPFIND /dav/移动云盘156/来自链接分享/ status=207 bytes=1299 duration=176.549769ms
alist-encrypt  | 2026-06-04T20:17:35 [req-5840fe] [移动云盘156:/手机备份] [propfind] Listing: /移动云盘156/手机备份/
alist-encrypt  | 2026-06-04T20:17:35 [req-5840fe] [移动云盘156:/手机备份] [propfind] Request path=/移动云盘156/手机备份/ rule=none
alist-encrypt  | 2026-06-04T20:17:35 [req-5840fe] [移动云盘156:/手机备份] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-04T20:17:35 [req-5840fe] [移动云盘156:/手机备份] [propfind] Timings upstream=149.292505ms parse=1.740485ms decrypt=281ns entries=8 bytes=4771
alist-encrypt  | 2026-06-04T20:17:35 [req-5840fe] [移动云盘156:/手机备份] [request] PROPFIND /dav/移动云盘156/手机备份/ status=207 bytes=4771 duration=151.352985ms
alist-encrypt  | 2026-06-04T20:17:35 [req-83f744] [移动云盘156:/手机视频] [propfind] Listing: /移动云盘156/手机视频/
alist-encrypt  | 2026-06-04T20:17:35 [req-83f744] [移动云盘156:/手机视频] [propfind] Request path=/移动云盘156/手机视频/ rule=none
alist-encrypt  | 2026-06-04T20:17:36 [req-83f744] [移动云盘156:/手机视频] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-04T20:17:36 [req-83f744] [移动云盘156:/手机视频] [propfind] Timings upstream=224.190183ms parse=3.323293ms decrypt=134ns entries=22 bytes=11920
alist-encrypt  | 2026-06-04T20:17:36 [req-83f744] [移动云盘156:/手机视频] [request] PROPFIND /dav/移动云盘156/手机视频/ status=207 bytes=11920 duration=227.853395ms
alist-encrypt  | 2026-06-04T20:17:36 [req-d8cc37] [移动云盘156:/手机图片] [propfind] Listing: /移动云盘156/手机图片/
alist-encrypt  | 2026-06-04T20:17:36 [req-d8cc37] [移动云盘156:/手机图片] [propfind] Request path=/移动云盘156/手机图片/ rule=none
alist-encrypt  | 2026-06-04T20:17:36 [req-d8cc37] [移动云盘156:/手机图片] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-04T20:17:36 [req-d8cc37] [移动云盘156:/手机图片] [propfind] Timings upstream=243.729733ms parse=2.278194ms decrypt=140ns entries=15 bytes=7873
alist-encrypt  | 2026-06-04T20:17:36 [req-d8cc37] [移动云盘156:/手机图片] [request] PROPFIND /dav/移动云盘156/手机图片/ status=207 bytes=7873 duration=246.34275ms
alist-encrypt  | 2026-06-04T20:17:36 [req-10ef74] [移动云盘156:/我的应用收藏] [propfind] Listing: /移动云盘156/我的应用收藏/
alist-encrypt  | 2026-06-04T20:17:36 [req-10ef74] [移动云盘156:/我的应用收藏] [propfind] Request path=/移动云盘156/我的应用收藏/ rule=none
alist-encrypt  | 2026-06-04T20:17:36 [req-10ef74] [移动云盘156:/我的应用收藏] [propfind] Alist response: status=207
alist-encrypt  | 2026-06-04T20:17:36 [req-10ef74] [移动云盘156:/我的应用收藏] [propfind] Timings upstream=7.603516ms parse=1.217886ms decrypt=133ns entries=6 bytes=3843
alist-encrypt  | 2026-06-04T20:17:36 [req-10ef74] [移动云盘156:/我的应用收藏] [request] PROPFIND /dav/移动云盘156/我的应用收藏/ status=207 bytes=3843 duration=9.129142ms
alist-encrypt  | 2026-06-04T20:17:36 [req-4262e2] [移动云盘156:/已领取的资源] [propfind] Listing: /移动云盘156/已领取的资源/
alist-encrypt  | 2026-06-04T20:17:36 [req-4262e2] [移动云盘156:/已领取的资源] [propfind] Request path=/移动云盘156/已领取的资源/ rule=none
alist-encrypt  | 2026-06-04T20:17:36 [req-4262e2] [移动云盘156:/已领取的资源] [propfind] Alist response: status=207
