alist-encrypt  | 2026-06-04T20:48:12 [req-1d876f] [/] [request] GET / status=200 bytes=1425 duration=7.631096ms
alist-encrypt  | 2026-06-04T20:48:12 [req-d79623] [manifest.json:/] [request] GET /manifest.json status=200 bytes=156 duration=2.085587ms
alist-encrypt  | 2026-06-04T20:48:12 [req-e9c93c] [api:/public] [request] GET /api/public/archive_extensions status=200 bytes=148 duration=1.12958ms
alist-encrypt  | 2026-06-04T20:48:12 [req-d52e26] [api:/public] [request] GET /api/public/settings status=200 bytes=1243 duration=3.779392ms
alist-encrypt  | 2026-06-04T20:48:12 [req-2e43b7] [api:/me] [request] GET /api/me status=200 bytes=156 duration=3.18076ms
alist-encrypt  | 2026-06-04T20:48:12 [req-3878e0] [get:/] [get] Processing /api/fs/get path: /
alist-encrypt  | 2026-06-04T20:48:12 [req-3878e0] [get:/] [get] Alist URL: http://openalist:5244
alist-encrypt  | 2026-06-04T20:48:12 [req-3878e0] [get:/] [get] Target for /api/fs/get: http://openalist:5244/api/fs/get
alist-encrypt  | 2026-06-04T20:48:12 [req-3878e0] [get:/] [get] Alist response status=200 body={"code":200,"message":"success","data":{"name":"root","size":0,"is_dir":true,"modified":"0001-01-01T00:00:00Z","created":"0001-01-01T00:00:00Z","sign":"","thumb":"","type":0,"hashinfo":"null","hash_info":null,"raw_url":"","readme":"","header":"","provider":"unknown","related":null}}
alist-encrypt  | 2026-06-04T20:48:12 [req-3878e0] [get:/] [request] POST /api/fs/get status=200 bytes=193 duration=3.944057ms
alist-encrypt  | 2026-06-04T20:48:12 [req-b4e37f] [api:/public] [request] GET /api/public/offline_download_tools status=200 bytes=78 duration=9.99229ms
alist-encrypt  | 2026-06-04T20:48:12 [req-9c4a85] [list:/] [list] Handling fs list for path: /
alist-encrypt  | 2026-06-04T20:48:12 [req-9c4a85] [list:/] [request] POST /api/fs/list status=200 bytes=566 duration=4.973388ms
alist-encrypt  | 2026-06-04T20:48:15 [req-206cd3] [list:/] [list] Handling fs list for path: /移动云盘156
alist-encrypt  | 2026-06-04T20:48:15+08:00 WRN Rejecting invalid dir snapshot cache_mode=snapshot path="/移动云盘156" reason="snapshot item missing path for non-root dir" scope_key="/移动云盘156::8c78b6edda5cfafb"
alist-encrypt  | 2026-06-04T20:48:16 [req-206cd3] [list:/] [request] POST /api/fs/list status=200 bytes=727 duration=547.430927ms
alist-encrypt  | 2026-06-04T20:48:17 [req-0193c8] [list:/] [list] Handling fs list for path: /移动云盘156/encrypt
alist-encrypt  | 2026-06-04T20:48:17+08:00 WRN Rejecting invalid dir snapshot cache_mode=snapshot path="/移动云盘156/encrypt" reason="snapshot item missing path for non-root dir" scope_key="/移动云盘156/encrypt::8c78b6edda5cfafb"
alist-encrypt  | 2026-06-04T20:48:17+08:00 WRN Rejecting invalid background dir snapshot cache_mode=background_scan path="/移动云盘156/encrypt" reason="snapshot item missing path for non-root dir" scope_key="/移动云盘156/encrypt::scan"
alist-encrypt  | 2026-06-04T20:48:18 [req-ab81b9] [api:/auth] [request] POST /api/auth/login status=200 bytes=236 duration=3.415202ms
alist-encrypt  | 2026-06-04T20:48:18 [req-c89dc2] [api:/task] [request] GET /api/task/upload/undone status=200 bytes=66 duration=3.427984ms
alist-encrypt  | 2026-06-04T20:48:18 [req-e23177] [api:/task] [request] GET /api/task/upload/done status=200 bytes=66 duration=3.180154ms
alist-encrypt  | 2026-06-04T20:48:18 [req-13bc5e] [api:/task] [request] GET /api/task/upload/undone status=200 bytes=66 duration=3.149978ms
alist-encrypt  | 2026-06-04T20:48:19 [req-0193c8] [list:/] [request] POST /api/fs/list status=200 bytes=23201 duration=1.898293215s
alist-encrypt  | 2026-06-04T20:48:19 [req-aebba6] [api:/auth] [request] POST /api/auth/login status=200 bytes=236 duration=3.914082ms
alist-encrypt  | 2026-06-04T20:48:19 [req-fc4b0f] [api:/task] [request] GET /api/task/upload/undone status=200 bytes=66 duration=5.015425ms
alist-encrypt  | 2026-06-04T20:48:19 [req-6bd824] [api:/task] [request] GET /api/task/upload/done status=200 bytes=66 duration=2.929849ms
alist-encrypt  | 2026-06-04T20:48:19 [req-d135b8] [api:/task] [request] GET /api/task/upload/undone status=200 bytes=66 duration=2.505788ms
alist-encrypt  | 2026-06-04T20:48:21 [req-cd98e2] [get:/] [get] Processing /api/fs/get path: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4
alist-encrypt  | 2026-06-04T20:48:21 [req-cd98e2] [get:/] [get] Using cached enc path: /移动云盘156/encrypt/gg5.co@SNOS-122_UNC.part001.mp4 -> /移动云盘156/encrypt/i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0b5V+YO0--k.bin
alist-encrypt  | 2026-06-04T20:48:21 [req-cd98e2] [get:/] [get] Alist URL: http://openalist:5244
alist-encrypt  | 2026-06-04T20:48:21 [req-cd98e2] [get:/] [get] Target for /api/fs/get: http://openalist:5244/api/fs/get
alist-encrypt  | 2026-06-04T20:48:21 [req-cd98e2] [get:/] [get] Alist response status=200 body={"code":200,"message":"success","data":{"name":"i6a+5VOWe~OQG+ctcG4of+mQeoHYlfL3cg0b5V+YO0--k.bin","size":1833849240,"is_dir":false,"modified":"2026-06-04T16:21:41.691+08:00","created":"2026-06-04T16:17:27.693+08:00","sign":"YJl_1pCnJNuhbgD0HM09ySaLJbcitK0Mf2rpJLeTotw=:0","thumb":"","type":0,"hashinfo":"null","hash_info":null,"raw_url":"https://ykj-eos-dg5-01.eos-dongguan-6.cmecloud.cn/639b629beb74432e95c0e66653e95c0e086?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27i6a%2
alist-encrypt  | 2026-06-04T20:48:21 [req-cd98e2] [get:/] [request] POST /api/fs/get status=200 bytes=414 duration=218.02731ms
